"titre","date_soumission","porteur_projet","destinataire","resume_projet","objectifs_projet","description_projet","localisation","beneficiaires","budget_previsionnel","conclusion"
"Projet de Agriculture #81","16/05/2024","AGRI-DEV","ONG Partenaire","Ce projet vise à renforcer le secteur de agriculture dans la région de Kinshasa.","Améliorer les conditions dans le domaine de agriculture pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Lubumbashi","centres de santé","6635 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #82","05/12/2024","Femmes d'Impact","Emergence SARL","Ce projet vise à renforcer le secteur de construction dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de construction pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Lubumbashi","femmes rurales","59598 USD","Nous espérons un accompagnement stratégique."
"Projet de Formation #83","07/05/2024","Médicorp","Ministère de l'Économie","Ce projet vise à renforcer le secteur de formation dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de formation pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Kisangani","PME locales","181715 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Tourisme #84","08/02/2024","TechnoPlus","Emergence SARL","Ce projet vise à renforcer le secteur de tourisme dans la région de Kinshasa.","Améliorer les conditions dans le domaine de tourisme pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Bukavu","femmes rurales","119664 USD","Il nécessite un soutien technique et financier."
"Projet de Formation #85","25/11/2024","AGRI-DEV","Ministère de l'Économie","Ce projet vise à renforcer le secteur de formation dans la région de Matadi.","Améliorer les conditions dans le domaine de formation pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Bukavu","femmes rurales","108807 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Énergie #86","09/09/2024","TechnoPlus","ONG Partenaire","Ce projet vise à renforcer le secteur de énergie dans la région de Bukavu.","Améliorer les conditions dans le domaine de énergie pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans énergie.","Matadi","PME locales","103639 USD","Ce projet changera positivement la vie des bénéficiaires."
"Projet de Ntic #87","01/04/2024","AGRI-DEV","Emergence SARL","Ce projet vise à renforcer le secteur de ntic dans la région de Kisangani.","Améliorer les conditions dans le domaine de ntic pour les populations urbaines.","Activités : formation, dotation en équipements, sensibilisation communautaire dans ntic.","Kinshasa","jeunes diplômés","33856 USD","Il nécessite un soutien technique et financier."
"Projet de Formation #88","17/08/2024","StartUp RDC","Emergence SARL","Ce projet vise à renforcer le secteur de formation dans la région de Bukavu.","Améliorer les conditions dans le domaine de formation pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Mbuji-Mayi","populations urbaines","198017 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Tourisme #89","01/01/2024","StartUp RDC","ONG Partenaire","Ce projet vise à renforcer le secteur de tourisme dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de tourisme pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Mbuji-Mayi","femmes rurales","177460 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #90","26/05/2025","TechnoPlus","Investisseurs Privés","Ce projet vise à renforcer le secteur de construction dans la région de Bukavu.","Améliorer les conditions dans le domaine de construction pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans construction.","Lubumbashi","femmes rurales","149782 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Biométrie #91","07/08/2024","Kabasele Group","Incubateur Émergence","Ce projet vise à renforcer le secteur de biométrie dans la région de Kinshasa.","Améliorer les conditions dans le domaine de biométrie pour les centres de santé.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Bukavu","centres de santé","158126 USD","Il nécessite un soutien technique et financier."
"Projet de Sante #92","18/04/2024","AGRI-DEV","ONG Partenaire","Ce projet vise à renforcer le secteur de sante dans la région de Kisangani.","Améliorer les conditions dans le domaine de sante pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans sante.","Kisangani","étudiants","106430 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Éducation #93","16/01/2024","Kabasele Group","ONG Partenaire","Ce projet vise à renforcer le secteur de éducation dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de éducation pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Kinshasa","femmes rurales","46643 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Formation #94","04/06/2025","StartUp RDC","Investisseurs Privés","Ce projet vise à renforcer le secteur de formation dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de formation pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans formation.","Bukavu","étudiants","96653 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Tourisme #95","23/01/2025","AGRI-DEV","Ministère de l'Économie","Ce projet vise à renforcer le secteur de tourisme dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de tourisme pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans tourisme.","Lubumbashi","populations urbaines","42462 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Biométrie #96","06/10/2024","Green Congo","Ministère de l'Économie","Ce projet vise à renforcer le secteur de biométrie dans la région de Lubumbashi.","Améliorer les conditions dans le domaine de biométrie pour les jeunes diplômés.","Activités : formation, dotation en équipements, sensibilisation communautaire dans biométrie.","Kinshasa","étudiants","39617 USD","Nous sollicitons une analyse approfondie par Emergence."
"Projet de Agriculture #97","31/01/2024","Green Congo","Ministère de l'Économie","Ce projet vise à renforcer le secteur de agriculture dans la région de Kisangani.","Améliorer les conditions dans le domaine de agriculture pour les PME locales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans agriculture.","Kinshasa","jeunes diplômés","101765 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Fintech #98","26/01/2025","StartUp RDC","Emergence SARL","Ce projet vise à renforcer le secteur de fintech dans la région de Bukavu.","Améliorer les conditions dans le domaine de fintech pour les femmes rurales.","Activités : formation, dotation en équipements, sensibilisation communautaire dans fintech.","Kinshasa","femmes rurales","58493 USD","Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Ntic #99","20/06/2024","Médicorp","Emergence SARL","Ce projet vise à renforcer le secteur de ntic dans la région de Goma.","Améliorer les conditions dans le domaine de ntic pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans ntic.","Lubumbashi","jeunes diplômés","134769 USD","Il nécessite un soutien technique et financier."
"Projet de Éducation #100","11/09/2024","AGRI-DEV","Incubateur Émergence","Ce projet vise à renforcer le secteur de éducation dans la région de Mbuji-Mayi.","Améliorer les conditions dans le domaine de éducation pour les étudiants.","Activités : formation, dotation en équipements, sensibilisation communautaire dans éducation.","Bukavu","PME locales","92253 USD","Nous espérons un accompagnement stratégique."
